Actual,Predicted_60_RF,Predicted_60_OLS,Predicted_80_OLS,Predicted_80_RF
9597,7150.27,4450.341538,9662.951776,6737.74
16889,25172.43,21702.44591,18204.15935,18854.37
21000,32680.84,26594.71785,22939.82585,21133.55
13795,15658.8,20821.02416,15824.26883,13464.75
11750,13956.44,14178.97564,9918.951617,12553.84
13745,18622.59,18419.348,11894.92405,14286.28
32640,30978.58,34332.52411,31377.21807,33903.99
21500,23104.26,23527.60993,24809.0849,22081.9
8595,13909.01,13063.90149,10772.11798,10805.72
33822,32633.7,33249.64035,35117.67032,33477.04
12987,14029.59,14225.27068,12904.07806,12179.3
15912,16292.78,19335.42114,16066.75468,17959.42
9995,14104.89,8248.691565,6768.504585,7473.45
8995,16776.57,18054.41212,6492.957632,10710.68
14925,13140.55,13657.58717,12258.63919,13471.46
7990,9591.77,5999.786027,8720.34184,9707.82
31488,31955.52,35434.60408,36078.70878,30228.95
10990,9486.49,5415.03052,11376.65488,10256.7
39999,30921.17,35163.17853,36088.21339,30977.05
229950,211230.51,190429.1739,224338.0444,224731.61
21350,27497.22,28601.82059,25543.32308,22979.33
32995,22717.48,21613.27724,32125.30167,27686.88
25799,15436.48,21829.82757,26416.12631,16332.65
9995,12144.27,9947.482137,9921.461774,10453.38
11990,15844.61,12642.00297,15670.01283,16165.86
46990,43743.08,37368.01598,48783.54865,50277.68
12991,16133.44,17756.12571,11933.15893,15403.4
26500,26691.78,27870.83625,28702.30333,30414.14
76125,56169.5,52239.66239,52209.92335,58165.59
17590,18911.56,22160.16151,20898.74362,16919.23
41000,24356.24,27858.96871,36743.65223,37983.53
28889,19410.86,23672.91978,27961.91562,18021.46
16870,18223.7,25725.78398,19060.45364,15957.37
13497,22846.26,24446.86665,20197.75264,16279.31
34544,24310.95,22783.24662,34072.80616,33866.95
15999,7717.98,11768.42645,17370.73722,13209.66
20990,17037.99,12326.43572,16201.24715,14539.78
31980,30235.87,26828.63716,26691.74581,29799.59
48000,27345.06,40207.06252,43803.00732,36778.29
7599,10830.11,10011.85649,8150.281163,9984.25
34988,26679.55,28910.82085,30646.48386,31416
29893,36845.85,35366.229,35667.42923,35787.38
19595,19160.43,28939.00997,28027.39997,21065.55
16997,13895.42,14270.04306,20567.44587,18469.24
22648,15509.06,18254.33212,22274.77725,19017.11
30500,32756.81,34011.87206,34671.09051,31143.25
26991,30653.23,30556.29774,31515.80101,33362.12
18895,22682.64,24316.60503,20888.42117,21781.61
10500,16656.04,16246.82592,9306.385697,10073.35
13798,13803.72,17373.57169,16144.82587,15177.82
20664,30362.01,30749.3634,22252.6106,18531.81
12888,26812.35,21404.48609,14014.46718,13749.55
38745,38122.78,37404.57228,38462.65877,39800.1
9999,7827.46,5870.892703,8461.809292,8406.36
18400,15640.98,20420.36402,15844.1127,13330.77
18893,13687.83,13696.89984,16685.02993,17241.62
36900,38550.88,36917.69234,32225.38832,39625.7
18999,22811.01,23244.8479,14189.54993,12221.11
36980,40488.68,32808.09199,33042.69801,35107.84
10775,9252.8,4217.4607,10033.1358,8593.68
32500,20298.46,28682.70068,36642.47924,28338.27
26000,40878.3,34646.07485,29742.49457,30625.64
26995,27624.7,28284.29796,26274.05849,37601.35
6419,7343.55,7364.665353,-159.6513565,8176.51
9395,12183.47,17640.4647,10173.47501,11478.19
28453,19707.94,19381.88017,28587.30429,25363.87
8919,12522.53,12098.06162,7585.655246,10004.35
12995,14105.33,17310.04218,15816.82891,13978.57
13986,28161.39,21915.513,14473.41981,19868
14994,16049.18,19845.79358,17107.12126,15143.26
40995,24030.65,24626.90215,43100.69723,42869.54
1598,5787.28,-231.0382742,-2523.461676,3460.66
12999,14579.16,20041.15717,13171.86928,13977.84
38957,32084.6,30850.77128,31892.84478,32117.5
24800,23617.72,23554.01894,26888.33427,25878.71
14895,7941.94,10054.48844,7112.499562,11787.01
22695,27744.39,29842.48601,21778.04197,22723.9
14250,9690.61,6591.07892,13034.68665,11544.52
6997,10315.06,6021.327091,8752.248352,11605.43
24704,19567.23,20680.06147,29389.86439,29566.02
10950,23811.25,23240.74166,8552.021925,15605.83
11305,14062.23,13519.41512,12419.04223,13222.04
8994,13364.07,12504.44381,7616.772147,11115.96
56582,62633.73,35749.83413,43489.21998,35263.61
18991,26073.58,22659.23101,19861.22485,17954.52
9821,14590.48,14017.75731,9691.22778,12156.3
19995,19613.41,24609.90931,32562.25132,22678.17
22985,40629.09,32950.25556,22939.28278,22469.86
36483,22118.51,27499.45289,36448.78033,24916.09
3995,5436.54,2778.08114,744.9021561,6023.13
25700,29237.51,32798.81584,23025.7021,23044.54
13988,17661.08,17373.14021,15200.58809,11962.91
13499,12037.02,11352.55173,19506.60812,10990.12
18950,11217.85,10889.62673,15177.73706,15129.22
14167,19198.22,19111.73008,13330.95153,13788.97
13988,19758.66,19547.40092,14405.05583,12671.57
28990,36039.25,32302.58179,32652.41914,34147.85
8999,8869.82,8985.496628,6479.192921,8940.4
17998,16928.15,21069.24891,20169.31305,17840.65
23333,21063.08,22109.91937,23985.72192,21868.07
29971,26855.5,26395.3081,30180.04316,27249.16
26000,24081.86,25920.52483,26264.60725,26157.42
25995,26226.83,24383.36024,25728.24258,26922.85
30000,39421.37,27878.89412,28459.93622,28220.61
15945,12581.2,15759.71595,13352.59791,13022.05
24695,22204.6,22020.17801,23194.23474,24676.96
17420,22116.63,22034.07562,19833.97795,18274.57
19468,12261.09,10210.36914,17421.89192,17668.68
11998,21659.36,23452.95554,14155.28472,16737.67
21883,12611.37,10460.54719,21431.98302,14683.73
18895,18620.4,20207.28806,19065.77876,17538.46
28897,31902.34,36593.65592,29375.69985,26211.82
56900,34184.05,32036.87159,39422.63207,42495.84
13991,14772.16,16141.67967,14340.8182,14034.49
18990,17949.57,15859.65302,15669.9173,13970.81
20990,28643.2,26497.43502,22913.66263,23332.55
18370,16173.82,19796.67499,16535.18179,16592.04
16714,15033.4,17643.11258,22133.7124,17829.54
26185,18879.82,21716.5574,24141.8846,23224.3
17590,20727.68,17933.45506,17960.3823,18590.55
24995,44076.17,28118.31529,20982.37043,27502.07
11995,13656.23,19779.32539,13499.75546,10976.58
19597,25515.43,22387.63857,24014.61794,20189.4
13996,25118.65,21835.96605,16369.14392,17610.92
16988,17931.48,20601.50095,19752.34693,16290.46
15108,25211.92,23727.51322,17507.36654,18773.64
16988,17748.39,16817.32039,16963.14086,15644.99
8977,8248.82,7446.007225,4883.502086,10318.23
23999,19746.23,18745.79046,23228.72243,20016.56
16595,15745.86,19790.1081,17819.70015,17468.87
22150,27464.82,31086.24731,20009.04425,18622.55
34975,18033.61,20918.41155,31289.53059,26987.13
20995,17765.31,35058.19819,31731.87267,13128.54
15555,15937.95,21167.13084,15373.97419,14353.62
15450,12127.14,15588.66204,14419.69046,13216.21
19369,17664.25,22615.67464,20346.97364,19388.56
12184,12213.78,10679.92648,9811.068879,10566.5
23800,24343.27,23303.71496,25437.14967,25992.17
25997,15592.01,11713.58556,16657.27754,11499.49
14000,16386.06,18377.63856,12690.56854,13929.44
11995,23500.49,22383.01061,15098.0934,12167.98
26693,12597.36,17928.32746,23745.36453,22723.28
12988,14732.85,19494.66671,17440.1555,14377.76
10991,7440.72,14821.04246,12292.78903,6949.3
14985,19336.97,16781.25329,12133.7437,14255.03
5000,7893.33,3213.06149,2970.958864,5894.76
48594,46929.9,41347.91928,41659.40142,48546.56
16333,20006.06,25268.00258,16692.48328,16037.83
9500,11284.23,13921.17598,6990.427521,13776.69
22800,33430.2,31979.78286,26299.43641,26752.79
25440,18922.27,17406.75383,22525.8443,20753.1
17995,11501.8,17126.85686,14015.76021,13936.98
39999,42226.19,29947.16777,41744.60525,36424.97
2995,8289.78,-679.4591642,-622.1691949,5381.03
15526,12542.61,11451.93542,13981.38383,15222.64
22999,20726.57,18903.88621,22785.38128,19937.83
48490,37732.81,27615.8211,48149.68773,43206.87
15888,13660.76,16397.51097,15060.56346,13087.36
20000,19145.68,17739.04826,20053.85567,17002.58
33992,35027.8,30373.87504,31266.85066,28967.34
27995,39276,32688.9996,27975.16553,28379.61
23399,18497.83,21390.81525,22406.11125,21229.05
13988,19155.88,19903.97358,11661.7443,15322.3
30589,33848.54,31022.34756,28903.06225,30758.95
40999,35861.05,35098.4476,36466.26052,35489.34
23599,23827.82,18340.117,26503.64015,19374.84
12985,17273.39,21121.55452,13645.58406,19316.85
19483,16712.91,18982.22477,20480.95227,20502.03
9995,10029.04,9483.388583,2060.429743,10339.85
16550,20153.03,26542.85728,20030.44093,17970.96
14450,15924.19,15753.61207,13552.63266,15224.75
28500,31348.26,31585.51186,34762.36315,34329.91
19411,18782.48,24479.83319,22636.27536,21239.5
38988,37837.04,36366.98831,35628.35384,39069.82
14995,14669.86,18042.12138,13023.12114,14541.29
8394,15837.16,12662.21771,6194.104048,8832.28
41999,30349.17,33923.65634,39695.65554,38648.85
